clip_id,best_lag,zero_lag_iou,peak_iou,improvement,peak_margin,n_models,model_spread,vad_lag,vad_agrees,duration,flagged,reason
2iMXYxBTwbM__339_401,4.64,0.6919283270835876,0.9599430561065674,0.26801472902297974,0.13508427143096924,4,0.009999999999999787,4.5600000000000005,True,62.0,True,strong candidate
7YfsQPYY-W0__351_411,4.5200000000000005,0.9278212785720825,0.988878607749939,0.061057329177856445,0.03535240888595581,4,0.23000000000000043,4.5,True,60.0,True,strong candidate
4Qg2jWP6_T0__136_202,4.04,0.8381807208061218,0.9411867260932922,0.10300600528717041,0.07269036769866943,4,0.20999999999999996,4.07,True,66.0,True,strong candidate
7k-xDqNjESc__73_981,4.01,0.875363290309906,0.9394301176071167,0.0640668272972107,0.04771840572357178,4,0.1900000000000004,4.07,True,908.0,True,strong candidate
IAm1rt-MYcA__4_558,3.98,0.8702335953712463,0.9625534415245056,0.09231984615325928,0.04304099082946777,4,0.040000000000000036,4.03,True,554.0,True,strong candidate
L7xRazDdtgw__19_83,3.92,0.6454830169677734,0.8611239194869995,0.21564090251922607,0.10708284378051758,4,0.08000000000000007,3.91,True,64.0,True,strong candidate
87Zbup3ohcw__106_445,3.63,0.8734050393104553,0.9571610689163208,0.08375602960586548,0.04814940690994263,4,0.54,3.58,True,339.0,True,strong candidate
7L4gi7Ncc0s__90_148,3.02,0.899982750415802,0.9761001467704773,0.07611739635467529,0.03549879789352417,4,3.02,3.0700000000000003,True,58.0,True,strong candidate
LBIWBxQ5H1s__90_1020,3.0100000000000002,0.9155511260032654,0.9716925621032715,0.056141436100006104,0.04413759708404541,4,0.040000000000000036,3.0700000000000003,True,930.0,True,strong candidate
OXUt5KnlUMo__91_181,3.0,0.8965440392494202,0.9596620798110962,0.06311804056167603,0.044808268547058105,4,5.48,2.96,True,90.0,True,strong candidate
6ZeRgvDHwcI__6_100,2.98,0.554302990436554,0.7701593637466431,0.2158563733100891,0.18337535858154297,4,0.03000000000000025,2.97,True,94.0,True,strong candidate
0p6cktLGIfY__12_930,2.91,0.7857174873352051,0.9603258371353149,0.17460834980010986,0.0570642352104187,4,2.09,2.86,True,918.0,True,strong candidate
JBYGLQJwFDc__103_407,2.8000000000000003,0.7536555528640747,0.941967248916626,0.18831169605255127,0.07873058319091797,4,2.8000000000000003,2.7600000000000002,True,304.0,True,strong candidate
2HGP34TNvjg__84_194,2.24,0.8422287106513977,0.9086798429489136,0.06645113229751587,0.0373879075050354,4,2.68,2.32,True,110.0,True,strong candidate
6f6TLzlP8Wk__82_144,2.07,0.8435077667236328,0.9557412266731262,0.11223345994949341,0.07162177562713623,4,0.040000000000000036,2.07,True,62.0,True,strong candidate
Gq45evw6ytY__597_1464,2.02,0.8982372879981995,0.9615125060081482,0.06327521800994873,0.04918253421783447,4,1.4900000000000002,1.98,True,867.0,True,strong candidate
Kdi-ECuOaKg__2_78,2.0,0.4918356239795685,0.6347703337669373,0.14293470978736877,0.07399052381515503,4,4.1,-5.0,False,76.0,True,strong candidate
PSIzXy5-y2E__2_918,2.0,0.8334159255027771,0.9383305907249451,0.10491466522216797,0.06577801704406738,4,0.22999999999999998,2.0300000000000002,True,916.0,True,strong candidate
0SoItGfM_sY__7_88,1.93,0.7700205445289612,0.8983808159828186,0.12836027145385742,0.042112112045288086,4,0.4099999999999999,2.0300000000000002,True,81.0,True,strong candidate
DPmew0didIM__191_512,1.93,0.8825643658638,0.9474095106124878,0.06484514474868774,0.04274463653564453,4,0.020000000000000018,1.87,True,321.0,True,strong candidate
Jc5AVwg2cZM__153_214,1.44,0.6912671327590942,0.9405900835990906,0.24932295083999634,0.1224927306175232,4,0.1200000000000001,1.47,True,61.0,True,strong candidate
Tlha36rSd5o__240_374,1.36,0.8524873852729797,0.9440984129905701,0.09161102771759033,0.05375736951828003,4,0.040000000000000036,1.26,True,134.0,True,strong candidate
Cku_X_SL7qU__60_660,1.31,0.6685121059417725,0.7961360812187195,0.12762397527694702,0.07701587677001953,4,0.030000000000000027,1.4000000000000001,True,600.0,True,strong candidate
T3I2T-cfhG4__160_210,1.31,0.9037807583808899,0.963308572769165,0.059527814388275146,0.03999018669128418,4,1.33,1.3900000000000001,True,50.0,True,strong candidate
0VEwL9XZ0LY__261_557,1.24,0.879701554775238,0.9641573429107666,0.08445578813552856,0.05837225914001465,4,1.19,1.33,True,296.0,True,strong candidate
2T4pjueLrsk__677_1290,1.18,0.7846443057060242,0.9285367727279663,0.14389246702194214,0.09720611572265625,4,0.030000000000000027,1.1500000000000001,True,613.0,True,strong candidate
86mMTUeDiR8__181_1079,1.02,0.7939088344573975,0.9373663067817688,0.14345747232437134,0.09439265727996826,4,0.020000000000000018,0.96,True,898.0,True,strong candidate
VKY0uuZ6Om8__575_935,5.0,0.9440540075302124,0.975007176399231,0.030953168869018555,0.026443779468536377,4,9.92,5.0,True,360.0,False,IoU gain 0.031 below 0.05
8r2Nltl0W4o__259_320,-4.58,0.9431053996086121,0.9720329642295837,0.02892756462097168,0.020938336849212646,4,0.2599999999999998,-1.9100000000000001,False,61.0,False,IoU gain 0.029 below 0.05
PRAzUz0GANs__223_283,4.36,0.9378229975700378,0.9869220852851868,0.049099087715148926,0.037834346294403076,4,2.23,4.3,True,60.0,False,IoU gain 0.049 below 0.05
83gP2vLH7UY__255_2005,4.12,0.946977436542511,0.9920751452445984,0.0450977087020874,0.01752638816833496,4,0.23000000000000043,4.11,True,1750.0,False,IoU gain 0.045 below 0.05; peak margin 0.018 below 0.02
BYLcUGNB_zM__20_1387,4.03,0.9713816046714783,0.9911378622055054,0.0197562575340271,0.008978486061096191,4,4.04,3.98,True,1367.0,False,IoU gain 0.020 below 0.05; peak margin 0.009 below 0.02
NLgHpYyf5bY__313_383,3.93,0.9254179000854492,0.9411227703094482,0.015704870223999023,0.0033258795738220215,4,2.88,4.07,True,70.0,False,IoU gain 0.016 below 0.05; peak margin 0.003 below 0.02
ARCKJrGkITw__14_496,3.91,0.9517011642456055,0.9885458946228027,0.036844730377197266,0.027370214462280273,4,0.5200000000000005,3.87,True,482.0,False,IoU gain 0.037 below 0.05
7c9ePKgqams__299_869,3.7600000000000002,0.9193548560142517,0.9686377644538879,0.04928290843963623,0.03942573070526123,4,0.10999999999999988,3.73,True,570.0,False,IoU gain 0.049 below 0.05
37dND_0r6S8__60_222,3.73,0.9298061728477478,0.9738414883613586,0.04403531551361084,0.02612203359603882,4,1.2999999999999998,3.67,True,162.0,False,IoU gain 0.044 below 0.05
ARZl7LT0UC0__73_130,-3.48,0.9598034024238586,0.9722274541854858,0.012424051761627197,0.0005327463150024414,4,2.26,-3.58,True,57.0,False,IoU gain 0.012 below 0.05; peak margin 0.001 below 0.02
LqQHdo7t5Ps__198_498,3.47,0.9518983960151672,0.9834436178207397,0.03154522180557251,0.026687026023864746,4,3.47,3.56,True,300.0,False,IoU gain 0.032 below 0.05
EmsKkNN2Me4__35_95,3.0300000000000002,0.9403285384178162,0.9564907550811768,0.016162216663360596,0.013557910919189453,4,0.020000000000000018,3.0700000000000003,True,60.0,False,IoU gain 0.016 below 0.05; peak margin 0.014 below 0.02
